abundanter, abundare:abundo:abundavi:abundatum, part_act_pres_adv_pos
affluenter, affluere:affluo:affluxi:affluxum, part_act_pres_adv_pos
arroganter, arrogare:arrogo:arrogavi:arrogatum, part_act_pres_adv_pos
audenter, audere:audeo:ausus sum:ausum, part_act_pres_adv_pos
confidenter, confidere:confido:confisus sum:, part_act_pres_adv_pos
consequenter, consequi:consequor:consecutus sum:, part_act_pres_adv_pos
constanter, constare:consto:constiti:constatum, part_act_pres_adv_pos
diligenter, diligere:diligo:dilexi:dilectum, part_act_pres_adv_pos
festinanter, festinare:festino:festinavi:festinatum, part_act_pres_adv_pos
instanter, instare:insto:institi:, part_act_pres_adv_pos
latenter, latere:lateo:latui:, part_act_pres_adv_pos
ignoranter, ignorare:ignoro:ignoravi:ignoratum, part_act_pres_adv_pos
negligenter, egligere:negligo:neglexi:neglectum, part_act_pres_adv_pos
patienter, pati:patior:passus sum:, part_act_pres_adv_pos
potenter, posse:possum:potui:, part_act_pres_adv_pos
sapienter, sapere:sapio:sapui:, part_act_pres_adv_pos
silenter, silere:sileo:silui:, part_act_pres_adv_pos
sufficienter, sufficere:sufficio:suffeci:suffectum, part_act_pres_adv_pos
superabundanter, superabundare:superabundo:superabundavi:superabundatum, part_act_pres_adv_pos
valenter, valere:valeo:valui:valitum, part_act_pres_adv_pos
aliter, alius, adv_pos
audacter, audax, adv_pos
crudeliter, crudelis, adv_pos
hilariter, hilaris, adv_pos
indesinenter, indesinens, adv_pos
largiter, largus, adv_pos
leniter, lenis, adv_pos
sinceriter, sincerus, adv_pos
suaviter, suavis, adv_pos
duriter, durus, adv_pos
fiducialiter, fiducia, adv_pos
audace, audax, adv_pos
obnixe, obnitier:obnitor:obnisus sum:, part_act_pres_adv_pos
peregre, peregre, adv_pos
recte, regere:rego:rexi:rectum, part_pass_perf_adv_pos
rectissime, regere:rego:rexi:rectum, part_pass_perf_adv_sup
directe, dirigere:dirigo:direxi:directum, part_pass_perf_adv_sup
aperte, aperire:aperio:aperui:apertum, part_pass_perf_adv_pos
coacte, coactare:coacto:coactavi:coactatum, part_pass_perf_adv_pos
concise, concidere:concido:concidi:concisum, part_pass_perf_adv_pos
docte, docere:doceo:docui:doctum, part_pass_perf_adv_pos
manifeste, manifestare:manifesto:manifestavi:manifestatum, part_pass_perf_adv_pos
occulte, occulere:occulo:occului:occultum, part_pass_perf_adv_pos
perfecte, perficere:perficio:perfeci:perfectum, part_pass_perf_adv_pos
perverse, pervertere:perverto:perverti:perversum, part_pass_perf_adv_pos
tacite, tacere:taceo:tacui:tacitum, part_pass_perf_adv_pos
sedule, sedulus, adv_pos
rite, ritus, adv_pos
temere, temere, adv_pos
azotice, Azotus, adv_pos
lycaonice, Lycaonius, adv_pos
magnopere, magnopere, adv_pos
fortuitu, fortuitus, adv_pos
forsitan, fors, adv_pos
fortasse, fors, adv_pos
forte, fors, adv_pos
noctu, nox, adv_pos
pondo, pondus, adv_pos
prope, prope, adv_pos
acervatim, acervus, adv_pos
certatim, certare:certo:certavi:certatum, adv_pos
commixtim, commiscere:commisceo:commiscui:commixtum, adv_pos
confestim, festinare:festino:festinavi:festinatum, adv_pos
cursim, currere:curro:cucurri:cursum, adv_pos
furtim, fur, adv_pos
gregatim, grex, adv_pos
membratim, membrum, adv_pos
minutatim, minuere:minuo:minui:minutum, adv_pos
passim, pandere:pando:pandi:passum, adv_pos
particulatim, particula, adv_pos
paulatim, paulus, adv_pos
separatim, separare:separo:separavi:separatum, adv_pos
impraesentiarum, praeesse:praesum:praefui:, adv_pos
sigillatim, singulus, adv_pos
singulatim, singulus, adv_pos
nominatim, nomen, adv_pos
vicissim, vicis, adv_pos 
antiquitus, antiquus, adv_pos
cominus, cominus, adv_pos
divinitus, divinus, adv_pos
ejusmodi, , modus, adv_pos
cujusmodi, modus, adv_pos
hujuscemodi, modus, adv_pos
hujusmodi, modus, adv_pos
istiusmodi, modus, adv_pos
quemadmodum, modus, adv_pos
quomodo, modus, adv_pos
amodo, modus, adv_pos
dummodo, modus, adv_pos
solummodo, modus, adv_pos
tantummodo, modus, adv_pos
tantum, tantus, adv_pos
intus, intus, adv_pos
valde, validus, adv_pos
diu, diu, adv_pos
diutius, diu, adv_com
exinde, inde, adv_pos
extemplo, extemplo, adv_pos
funditus, fundus, adv_pos
radicitus, radix, adv_pos
perendie, dies, adv_pos
veloce, velox, adv_pos
qualiter, qualis, adv_pos
adhuc, hic, adv_pos
alibi, ubi, adv_pos
alioquin, alioquin, adv_pos
aliquando, quando, adv_pos
aliquot, quot, adv_pos
aliquoties, quoties, adv_pos
aliunde, unde, adv_pos
altrinsecus, altrinsecus, adv_pos
antea, antes, adv_pos
attamen, tamen, adv_pos
clam, clam, adv_pos
cras, cras, adv_pos
foris, foris, adv_pos
deforis, foris, adv_pos
intus, intus, adv_pos
deintus, intus, adv_pos
demum, demum, adv_pos
denuo, novus, adv_pos
deorsum, deorsum, adv_pos
desuper, super, adv_pos
desursum, sursum, adv_pos
dudum, dudum, adv_pos
dumtaxat, dumtaxat, adv_pos
equidem, quidem, adv_pos
ergo, ergo, adv_pos
forinsecus, forinsecus, adv_pos
haud, haud, adv_pos
hinc, hinc, adv_pos
hodie, hodie, adv_pos
huc, huc, adv_pos
idcirco, idcirco, adv_pos
ideo, ideo, adv_pos
illic, illic, adv_pos
illico, illico, adv_pos
illuc, illuc, adv_pos
immo, immo, adv_pos
incassum, cassus, adv_pos
infra, infra, adv_pos
insuper, super, adv_pos
interdum, dum, adv_pos
interea, inter, adv_pos
interim, inter, adv_pos
invicem, vicis, adv_pos
iterum, iterum, adv_pos
jampridem, iampridem, adv_pos
mox, mox, adv_pos
necesse, necesse, adv_pos
nequando, nequando, adv_pos
nequaquam, nequam, adv_pos
nihilominus, nihilominus, adv_pos
nimis, nimis, adv_pos
ne, ne, adv_pos
nudiusquarta, nudiusquarta, adv_pos
nudiustertius, nudiustertius, adv_pos
num, num, adv_pos
numquam, numquam, adv_pos
numquid, num, adv_pos
nunc, nunc, adv_pos
nuper, nuper, adv_pos
nusquam, nusquam, adv_pos
olim, olim, adv_pos
omnino, omnino, adv_pos
parumper, parvus, adv_pos
paulisper, paulus, adv_pos
paulominus, minus, adv_pos
postea, post, adv_pos
posthac, post, adv_pos
pridie, dies, adv_pos
procul, procul, adv_pos
propterea, propter, adv_pos
protinus, protinus, adv_pos
praesertim, praesertim, adv_pos
praeterea, praeter, adv_pos
quamdiu, diu, adv_pos
quando, quando, adv_pos
quantocius, ocius, adv_pos
quapropter, propter, adv_pos
quare, quare, adv_pos
quidem, quidem, adv_pos
quin, quin, adv_pos
quinimmo, quin, adv_pos
quippe, quippe, adv_pos
quondam, quondam, adv_pos
quotidie, dies, adv_pos
quoties, quot, adv_pos
retro, retro, adv_pos
retrorsum, retrorsum, adv_pos
revera, revera, adv_pos
rursum, rursus, adv_pos
rursus, rursus, adv_pos
scilicet, scilicet, adv_pos
semper, semper, adv_pos
sic, sic, adv_pos
siccine, sic, adv_pos
sicubi, ubi, adv_pos
simul, simul, adv_pos
siquando, quando, adv_pos
siquidem, quidem, adv_pos
statim, statim, adv_pos
summatim, summus, adv_pos
subtus, subtus, adv_pos
sursum, sursum, adv_pos
tam, tam, adv_pos
tamdiu, diu, adv_pos
tamen, tamen, adv_pos
tandem, tandem, adv_pos
tot, tot, adv_pos
tunc, tunc, adv_pos
umquam, umquam, adv_pos
usquequo, usque, adv_pos
utinam, utinam, adv_pos
utpote, utpote, adv_pos
utrumnam, utrum, adv_pos
