amor,noun_masc,"love; desire; passion"
 amorem,,acc_sg
 amoris,,gen_sg
 amori,,dat_sg
 amore,,abl_sg
 amores,,nom_pl,acc_pl,voc_pl
 amorum,,gen_pl
 amoribus,,dat_pl,abl_pl
puella,noun_fem,"girl; maiden"
 puellam,,acc_sg
 puellae,,gen_sg,dat_sg,nom_pl,voc_pl
 puella,,abl_sg,voc_sg
 puellas,,acc_pl
 puellarum,,gen_pl
 puellis,,dat_pl,abl_pl
bonus,adj_pos,"good; excellent; worthy"
 bonum,,acc_sg_masc,nom_sg_neut,acc_sg_neut
 boni,,gen_sg_masc,nom_pl_masc
 bono,,dat_sg_masc,abl_sg_masc,dat_sg_neut,abl_sg_neut
 bonos,,acc_pl_masc
 bonorum,,gen_pl_masc
 bonis,,dat_pl_masc,abl_pl_masc,dat_pl_fem,abl_pl_fem,dat_pl_neut,abl_pl_neut
 bona,,nom_sg_fem,abl_sg_fem,nom_pl_neut,acc_pl_neut
 bonae,,gen_sg_fem,dat_sg_fem,nom_pl_fem,voc_pl_fem
 bonam,,acc_sg_fem
 bonas,,acc_pl_fem
 bonarum,,gen_pl_fem,gen_pl_neut
amo,verb,"to love; to be fond of"
 amas,,2sg_pres_act
 amat,,3sg_pres_act
 amamus,,1pl_pres_act
 amatis,,2pl_pres_act
 amant,,3pl_pres_act
 amabam,,1sg_imperf_act
 amabas,,2sg_imperf_act
 amabat,,3sg_imperf_act
 amabamus,,1pl_imperf_act
 amabatis,,2pl_imperf_act
 amabant,,3pl_imperf_act
 amabo,,1sg_fut_act
 amabis,,2sg_fut_act
 amabit,,3sg_fut_act
 amabimus,,1pl_fut_act
 amabitis,,2pl_fut_act
 amabunt,,3pl_fut_act
 amavi,,1sg_perf_act
 amavisti,,2sg_perf_act
 amavit,,3sg_perf_act
 amavimus,,1pl_perf_act
 amavistis,,2pl_perf_act
 amaverunt,,3pl_perf_act
